Horodateur,Marque,connaissance,description,"Dans quelle mesure, êtes-vous prêt(e)  à recommander cette marque auprès de vos proches ? "
08/11/2021 17:05:47,Chanel,Je la connais de manière superficielle,"C'est une marque de haute couture dans le luxe, française",8
08/11/2021 17:06:24,Dior,Je la connais de manière superficielle,"C'est une marque de haute couture, dans le luxe. Elle est aussi française",8
08/11/2021 17:07:19,Total,Je l'achète ou la consomme occasionnellement,"C'est une marque d'énergies, aussi bien pour du carburant que du gaz. ",8
08/11/2021 17:10:14,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,"C'est une marque française de voiture, elle possède des modèles classiques comme la 4L, mais aussi des utilitaires",9
08/11/2021 17:11:40,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,"C'est une marque française de pneu, qui a pour image un bibendum. Ils fournissent des pneus pour toutes les saisons de moyenne à très haute qualité",10
08/11/2021 17:12:44,Chanel,Je l'achète ou la consomme occasionnellement,"Pour moi, cette marque représente le luxe, la qualité, le prestige et la réussite. ",10
08/11/2021 17:12:54,Carrefour,Je l'achète ou la consomme régulièrement,"C'est une marque de grande distribution avec différentes enseignes, du carrefour express de centre ville au gros centre commercial. Carrefour reste une marque très abordable",9
08/11/2021 17:14:23,Dior,J'en ai une bonne connaissance même je ne l'achète jamais,Cette marque a retrouvé sa jeunesse et son dynamisme contrairement à Chanel qui reste classique. Même si elle reste chère et ,7
08/11/2021 17:15:40,Décathlon,Je l'achète ou la consomme occasionnellement,"C'est une marque de sport qui est aussi une enseigne qui revend d'autres marques de sport. Décathlon offre des produits du bas de gamme à moyenne gamme, à bons prix",10
08/11/2021 17:17:50,Sephora,Je l'achète ou la consomme régulièrement,"C'est une marque de produits de cosmétique et de parfums. Ils revendent aussi un grand nombre de marques. Les produits sont de qualité, ils ont aussi du luxe. ",10
08/11/2021 17:41:11,Total,Je l'achète ou la consomme régulièrement,"Pour moi cette marque représente la pollution, l'exploitation, la dégradation de l'environnement.",0
08/11/2021 17:41:57,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,"Cette marque représente selon moi, la France, la qualité, la pollution, mais aussi la mobilité et la liberté.",8
08/11/2021 17:43:34,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,"Une marque ancienne, française, qui représente la bonne qualité, le bon rapport qualité-prix.",8
08/11/2021 17:45:36,Carrefour,Je l'achète ou la consomme régulièrement,"Grande-distribution, pollution, alimentation",8
08/11/2021 17:46:20,Décathlon,Je l'achète ou la consomme occasionnellement,"marque de bonne qualité, française, responsable, innovante, technologique, rapide, bon SAV.",10
08/11/2021 17:47:15,Sephora,Je l'achète ou la consomme régulièrement,"Pratique, accessible, offre complète, prix abordable",10
08/11/2021 20:22:22,Chanel,J'en ai une bonne connaissance même je ne l'achète jamais,"une marque luxueuse, inaccessible, iconique",2
08/11/2021 20:23:04,Dior,Je la connais de manière superficielle,très hautaine,2
08/11/2021 20:24:43,Total,J'en ai une bonne connaissance même je ne l'achète jamais,"une marque qui ne respecte pas l'environnement, un peu fourbe, qui essaie d'échapper aux scandales et de faire du greenwashing",0
08/11/2021 20:26:24,Décathlon,Je l'achète ou la consomme occasionnellement,"Marque très sympathique, pas chère et super pratique, familiale",10
08/11/2021 20:46:22,Chanel,Je la connais de manière superficielle,Élégante ,9
08/11/2021 20:48:18,Dior,Je l'achète ou la consomme occasionnellement,Univers créatif et luxueux ,10
08/11/2021 20:49:38,Total,J'en ai une bonne connaissance même je ne l'achète jamais,Entreprise pas très écofriendly mais avec une bonne marque employeur ,4
08/11/2021 20:51:10,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,"Un bon rapport qualité prix, une marque française ",8
08/11/2021 20:51:41,Michelin,Je la connais de manière superficielle,Une bonne qualité de pneus ,9
08/11/2021 21:10:18,Chanel,Je l'achète ou la consomme occasionnellement,Une vieille marque de luxe incontournable ,6
08/11/2021 21:11:01,Dior,Je la connais de manière superficielle,Une marque de luxe innovante proche des jeunes ,8
08/11/2021 21:11:31,Total,Je l'achète ou la consomme régulièrement,Une marque d’essence française ,10
08/11/2021 21:12:05,Michelin,Je l'achète ou la consomme régulièrement,Leader du pneu français dans le monde gage de qualité,10
08/11/2021 21:12:49,Carrefour,Je l'achète ou la consomme régulièrement,Marque d’hypermarché assez chère ,7
08/11/2021 21:15:48,Renault,Je l'achète ou la consomme occasionnellement,Marque de voiture familiale française aux produits au bon rapport-qualité prix ,10
08/11/2021 21:17:37,Décathlon,Je l'achète ou la consomme occasionnellement,Wholesaler qui vend des produits autour du sport à des prix variés particulièrement innovante ,7
08/11/2021 21:18:07,Chanel,Je la connais de manière superficielle,"Une marque chic et élégante, coûteuse, guidée et française de luxe",1
08/11/2021 21:18:55,Sephora,J'en ai une bonne connaissance même je ne l'achète jamais,Distributeur de marques de produits de beauté pour les beaufs ,4
08/11/2021 21:22:54,Dior,J'en ai une bonne connaissance même je ne l'achète jamais,"Une marque chic, chère de luxe, française et associée à la couleur dorée ",2
08/11/2021 21:24:24,Total,J'en ai une bonne connaissance même je ne l'achète jamais,Grande entreprise française de l’énergie,0
08/11/2021 21:25:29,Renault,Je la connais de manière superficielle,"Entreprise français de l’automobile, voiture de qualité pour classe moyenne, référence ",4
08/11/2021 21:26:21,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,"Pneus premium, français, bonne qualité, innovation, référence ",7
08/11/2021 21:27:17,Carrefour,Je l'achète ou la consomme régulièrement,"Grande surface, choix, bons prix en ville ",5
08/11/2021 21:28:23,Décathlon,Je l'achète ou la consomme occasionnellement,Sportif campagnard amical français ,9
08/11/2021 21:29:19,Sephora,J'en ai une bonne connaissance même je ne l'achète jamais,"Superficielle, abordable, choix",2
08/11/2021 21:33:37,Chanel,J'en ai une bonne connaissance même je ne l'achète jamais,"Une personnalité assez discrète, qui possède beaucoup de valeurs et de savoir-faire. Assez sérieuse, gage de qualité. ",8
08/11/2021 21:34:54,Dior,J'en ai une bonne connaissance même je ne l'achète jamais,Une personnalité chic et lumineuse,7
08/11/2021 21:36:02,Chanel,Je l'achète ou la consomme occasionnellement,"Singulière, Chanel crée un univers envoûtant ",9
08/11/2021 21:41:21,Dior,Je l'achète ou la consomme occasionnellement,"Solaire, pleine de détermination, colorée ",9
08/11/2021 21:44:57,Total,Je la connais de manière superficielle,"Dynamique, goût pour la performance ",5
08/11/2021 21:46:55,Renault,Je la connais de manière superficielle,"Fiable, solide ",7
08/11/2021 21:48:11,Michelin,Je la connais de manière superficielle,"Fiable, populaire ",5
08/11/2021 21:52:54,Carrefour,Je l'achète ou la consomme régulièrement,"Accessible, proche, dynamique ",8
08/11/2021 21:55:09,Décathlon,Je l'achète ou la consomme occasionnellement,"Fun, spécialiste, dynamique, présent, a l’écoute, adapté à tous ",10
08/11/2021 22:02:32,Sephora,Je l'achète ou la consomme occasionnellement,"Spécialiste, expert, rigoureux, bon conseil ",8
08/11/2021 22:04:33,Total,Je la connais de manière superficielle,"Une personnalité assez banale, simple, de confiance ",6
08/11/2021 22:06:19,Renault,Je la connais car je l'achetais ou la consommais régulièrement,"Une personnalité un peu vieillotte, masculine",6
08/11/2021 22:07:45,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,"Cette marque a une personnalité assez ouverte, dynamique, stable ",8
08/11/2021 22:08:34,Carrefour,Je l'achète ou la consomme occasionnellement,"Une personnalité avant-gardiste, curieuse, de confiance",8
08/11/2021 22:09:41,Décathlon,J'en ai une bonne connaissance même je ne l'achète jamais,"Cette marque a une personnalité dynamique, prête à partir à l'aventure, sportive ",9
08/11/2021 22:10:44,Sephora,Je la connais car je l'achetais ou la consommais régulièrement,Sephora est une marque fun qui est inclusive et où chacun se sent en totale liberté de s'exprimer à travers le maquillage. Elle convient différents type de personnalité. Elle suit toujours les tendances.,9
08/11/2021 22:10:52,Sephora,Je l'achète ou la consomme régulièrement,"Personnalité très féminine, apprêtée, peu généreuse ",8
08/11/2021 22:57:44,Chanel,Je la connais de manière superficielle,Qui a confiance en elle et élégante en toute circonstance ,7
08/11/2021 23:10:30,Total,Je la connais de manière superficielle,"Égoïste, égocentrique, avare",5
08/11/2021 23:12:42,Carrefour,Je l'achète ou la consomme occasionnellement,"Gentil, économe",8
08/11/2021 23:34:40,Chanel,Je l'achète ou la consomme occasionnellement,Chanel est une marque à la fois classique et avant-gardiste que l'on peut qualifier également de chic et sophistiquée,7
08/11/2021 23:36:01,Dior,Je l'achète ou la consomme occasionnellement,"Dior est une marque moderne alliant féminité, élégance et raffinement.",9
08/11/2021 23:37:33,Total,Je la connais de manière superficielle,Total est une marque innovante gage d'énergie transmettant une image de puissance.,3
08/11/2021 23:39:07,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,Renault est une marque historique accessible avec un côté à la fois familial et sportif.,8
08/11/2021 23:43:12,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,Michelin est une marque innovante leader sur son marché traduisant une certaine technique et performance.,8
08/11/2021 23:46:04,Carrefour,Je l'achète ou la consomme régulièrement,Carrefour est une marque accueillante et serviable qui transmet une certaine simplicité ainsi qu'une dimension familiale.,7
08/11/2021 23:50:16,Décathlon,Je la connais car je l'achetais ou la consommais régulièrement,Décathlon est une marque sportive qui a le goût du challenge. Elle exprime une certaine accessibilité et un côté familial.,9
08/11/2021 23:51:44,Sephora,Je l'achète ou la consomme régulièrement,"Sephora est une marque jeune, dynamique, très communicative et qui a le sens de la créativité.",9
09/11/2021 08:32:34,Carrefour,J'en ai une bonne connaissance même je ne l'achète jamais,Une marque bienveillante ,7
09/11/2021 08:36:06,Décathlon,Je l'achète ou la consomme occasionnellement,Sportive et Humaniste,10
09/11/2021 08:43:51,Sephora,Je l'achète ou la consomme occasionnellement,Glamour et pétillante ,8
09/11/2021 09:18:43,Décathlon,Je l'achète ou la consomme occasionnellement,"La personnalité de cette marque est performante, simple et surtout pratique. Elle est très axée sur la fonctionnalité et beaucoup moins sur les prix. Elle est accueillante et a l'écoute de ses consommateurs. ",10
09/11/2021 09:54:17,Chanel,J'en ai une bonne connaissance même je ne l'achète jamais,Luxe Maroquinerie Qualité Simplicité Intemporelle ,9
09/11/2021 09:55:12,Dior,J'en ai une bonne connaissance même je ne l'achète jamais,Luxe Qualité Influenceuse Maquillage Joli ,9
09/11/2021 09:55:57,Total,Je l'achète ou la consomme occasionnellement,Essence Pollution Green-Washing Mystérieuse Grosse Scandale ,2
09/11/2021 09:56:36,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,Voiture Solide Fiable Classique Efficace Française Rapport qualité/prix ,8
09/11/2021 09:57:33,Sephora,Je l'achète ou la consomme régulièrement,Rapport qualité/prix Complet Varié Pas toujours qualitatif Carte fidélité ,6
09/11/2021 11:08:10,Décathlon,Je l'achète ou la consomme occasionnellement,"Extraverti, dynamique, toujours plein d’énergie et prêt à relever les défis ",9
09/11/2021 16:45:17,Décathlon,Je l'achète ou la consomme régulièrement,L'offre d'articles de sport divers à des prix abordables pour débutants ou expérimentés,8
09/11/2021 17:26:01,Décathlon,Je l'achète ou la consomme occasionnellement,"Dynamique et jeune (m'inspire la liberté et la passion pour le sport) - Accessible à tous (prix peu chers notamment sur les produits de la marque Décathlon) - Innovante : Décathlon a ses propres marques, selon les différents sport, et propose des produits toujours plus innovants (je sais notamment qu'il y a beaucoup d'investissement fait en R&D, et que l'enseigne a des labos de recherche en France )",10
09/11/2021 18:15:20,Décathlon,Je la connais de manière superficielle,C'est une marque emblématique du luxe français qui est sophistiqué mais audacieuse. C'est également une marque sobre mais créative.,8
10/11/2021 08:26:51,Chanel,Je la connais de manière superficielle,"C’est une marque prestigieuse, avec une forte identité. Classe",8
10/11/2021 15:27:12,Dior,Je la connais de manière superficielle,"narcissique, prétentieux, fier, rigoureux",9
10/11/2021 15:29:23,Sephora,Je l'achète ou la consomme occasionnellement,"coquette, soigne son apparence, extravertie",9
12/11/2021 01:59:40,Chanel,Je la connais de manière superficielle,"Chanel pour moi c'est une marque qui permet aux consommateurs de s’affirmer. La femme chez Chanel, c'est une femme forte, séduisante, avec du caractère et elle est libre d'être qui elle veut. Les parfums Chanel ils ont une signature aussi, on aime ou on n'aime pas mais on reconnaît la touche Chanel",5
12/11/2021 02:02:17,Dior,J'en ai une bonne connaissance même je ne l'achète jamais,"Dior, je suis fan de ce qu'ils proposent, c'est juste hors de prix pour moi mais j'aime vraiment beaucoup leurs articles, j'ai adoré quand ils ont sorti les visières par exemple. C'est une marque très tendance, j'aurai presque envie de dire une marque jeune, très fraîche qui sait parfaitement s'inscrire dans l'air du temps ",10
12/11/2021 02:04:17,Total,Je l'achète ou la consomme occasionnellement,"Total je suis désolée mais c'est une marque très problématique. En France, c'est très bien parce qu'elle propose des services intéressants (ex: carte Total Wash) mais en Afrique, ils exploitent les ressources naturelles de nombreux pays au détriment du développement de chacun. ",0
12/11/2021 02:05:50,Renault,J'en ai une bonne connaissance même je ne l'achète jamais,"Renault pour moi c'est très mainstream, très masse, très accessible et en perpétuelle évolution. Après on aime ou pas leurs innovations mais j'aime bien globalement ",10
12/11/2021 02:07:18,Michelin,J'en ai une bonne connaissance même je ne l'achète jamais,Michelin c'est une marque toujours novatrice avec un coup d'avance sur tout le monde et ce depuis ses débuts que ce soit avec les guides et maintenant avec les pneus increvables,10
12/11/2021 02:08:50,Carrefour,Je l'achète ou la consomme occasionnellement,"Carrefour, je connais très bien et pour avoir été à l'intérieur, j'ai été standardiste pendant 4 ans au siège de Massy, j'ai nécessairement vu beaucoup de choses qui ne me permettent pas d'être objective sur la question donc je préfère ne pas y répondre ",0
12/11/2021 02:12:23,Décathlon,Je l'achète ou la consomme occasionnellement,"Décathlon pour moi c'est une marque innovante, très accessible et qui est experte dans le domaine du sport. A titre personnel je trouve ça dommage que dans leur démarche ils essayent toujours d'être lisse et ne prennent jamais de risque. Je suis désolée mais quand on prétend vouloir démocratiser le sport, cela ne va pas de soi, de refuser de commercialiser certains produits (ex : hijab de sport) sous prétexte que certains veulent polémiquer sur le port du voile… Je pense qu'en tant que marque, ils ne se sont pas positionnés fortement en prenant un parti pris clair comme peut le faire Nike ou Adidas ",5
12/11/2021 02:14:52,Sephora,Je la connais car je l'achetais ou la consommais régulièrement,"Sephora, j'adore ! C'est une marque très pertinente dans tout ce qui va être soins de la peau, maquillage, parfums. Elle nous permet de nous faire plaisir et c'est toujours agréable d'y aller parce qu'il y a beaucoup de marques différentes notamment des exclusivités je pense à Kayali par exemple qui n'est pas vendu ailleurs en France. C'est aussi une marque si se veut très tendance",10
